fullStreetName,CoordList
BUCKEYE RD,"[(-89.31700835241054, 43.07458645121531), (-89.31640501643741, 43.07412827981169), (-89.31638725267855, 43.07411676366738), (-89.31636901429621, 43.074105652127734), (-89.31635032091663, 43.07409495601202), (-89.31633118848407, 43.07408468523578), (-89.31631163539836, 43.07407484971704), (-89.31629168006097, 43.07406545847363), (-89.3162713408731, 43.07405652052339), (-89.31625063746696, 43.07404804308517), (-89.31622958947007, 43.074040036078074), (-89.31620821528675, 43.07403250671972), (-89.31618653700778, 43.074025460431116), (-89.31616457426365, 43.07401890533116), (-89.31614234668787, 43.074012847738594)]"
BUCKEYE RD,"[(-89.32393626084666, 43.07996014531934), (-89.32393282588505, 43.07995939735973), (-89.32391435903062, 43.079954849485794), (-89.32389612378817, 43.07994982655379), (-89.3238781410255, 43.07994433308243), (-89.32386043528855, 43.07993837719371), (-89.32384302744072, 43.07993196610659), (-89.32382594079994, 43.07992510794214), (-89.32380919499874, 43.07991781171838), (-89.32379281089914, 43.079910085554346), (-89.32377681058799, 43.07990193937032), (-89.32376121369502, 43.07989338398456), (-89.32374603862326, 43.07988442931417), (-89.32373130500085, 43.07987508707761), (-89.32371703122796, 43.07986536899211), (-89.3237032344768, 43.079855286774), (-89.32169560026513, 43.07827206756206)]"
BUCKEYE RD,"[(-89.31296654227464, 43.07367738983787), (-89.31178725250618, 43.07356159830936)]"
BUCKEYE RD,"[(-89.31178725250618, 43.07356159830936), (-89.3111748427131, 43.073501444359934)]"
BUCKEYE RD,"[(-89.31110226118908, 43.073494595420385), (-89.31053518955514, 43.073445169164486)]"
BUCKEYE RD,"[(-89.32169560026513, 43.07827206756206), (-89.32161577471031, 43.07820698752026)]"
BUCKEYE RD,"[(-89.3086863064903, 43.073260150090164), (-89.3074305292297, 43.07313578036846), (-89.30666892931146, 43.07306334499912)]"
BUCKEYE RD,"[(-89.30084337630394, 43.07330406118339), (-89.30074775642431, 43.0733056393259), (-89.30065212729927, 43.07330692304491), (-89.29847502064254, 43.07333272698253)]"
BUCKEYE RD,"[(-89.30209564138248, 43.07325153644079), (-89.30159504688586, 43.07328135870415), (-89.30146984642774, 43.07328640947149), (-89.30134460888169, 43.07329095420454), (-89.30121934039333, 43.07329499110943), (-89.30109404218993, 43.07329852198754), (-89.30096871918927, 43.07330154504376), (-89.30084337630394, 43.07330406118339)]"
BUCKEYE RD,"[(-89.29149166196342, 43.07342227334802), (-89.28988147929444, 43.073444514032076)]"
BUCKEYE RD,"[(-89.29334369303724, 43.07340122681871), (-89.29149166196342, 43.07342227334802)]"
BUCKEYE RD,"[(-89.29457425571026, 43.07338237159624), (-89.29334369303724, 43.07340122681871)]"
BUCKEYE RD,"[(-89.29580573754392, 43.07336873466096), (-89.29457425571026, 43.07338237159624)]"
